floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,flat_id
27,41,3,79.0,71000000,Раменки,1-й Сетуньский проезд,6С6,Кутузовская,312677884
7,7,3,71.0,55000000,Пресненский,Большая Никитская ,31,Арбатская,300005751
5,9,3,93.0,111500000,Якиманка,Лаврушинский переулок,17С2,Третьяковская,316565405
5,9,3,92.1,112000000,Якиманка,Лаврушинский переулок,17С2,Третьяковская,315975609
12,23,3,82.0,30000000,Коньково, Островитянова,53,Беляево,316440107
11,15,3,113.5,79000000,Даниловский, Родченко,2,ЗИЛ,315662772
4,6,3,160.0,240000000,Пресненский,Большой Гнездниковский переулок,3,Тверская,312710345
6,9,3,58.0,11700000,Солнцево, 50 лет Октября,5,Говорово,316419923
11,13,3,68.8,57500000,Раменки,проспект Генерала Дорохова,39к2Б,Минская,315044981
7,14,3,68.9,41000000,Раменки,проспект Генерала Дорохова,39к1В,Поклонная,309623565
9,9,3,61.0,22900000,Аэропорт, Усиевича,25К1,Сокол,316187942
3,17,3,97.0,97000000,Пресненский, Сергея Макеева,9к1,Улица 1905 года,302817609
2,16,3,99.0,158700000,Раменки,Воробьевское шоссе,4,Поклонная,310507662
3,9,3,53.0,17900000,Ясенево,Соловьиный проезд,14,Новоясеневская,316652069
10,14,3,91.9,69000000,Раменки,Минская ,1ГсА,Минская,314945841
3,5,3,61.4,30000000,Хамовники, Плющиха,9А,Смоленская,316321471
2,4,3,140.0,170046264,Мещанский,Рождественский бульвар,10/7С1,Трубная,312221430
7,12,3,71.5,17700000,Кузьминки,Окская ,20К2,Кузьминки,314066235
6,12,3,146.0,115000000,Замоскворечье,Климентовский переулок,2,Новокузнецкая,307958924
11,20,3,117.0,42990000,Свиблово,проезд Серебрякова,11к1,Ботанический сад,316602177
6,9,3,97.0,66000000,Таганский,Новоспасский переулок,3К1,Пролетарская,314844317
14,15,3,133.91,227647000,Хамовники, Усачева,15,Спортивная,309118638
4,9,3,60.0,14700000,Дмитровский,Клязьминская ,32К1,Лианозово,315741036
26,39,3,122.0,109900000,Раменки,Минская ,2,Минская,316086488
19,24,3,86.0,22500000,Северное Бутово, Грина,1к8,Бульвар Дмитрия Донского,313741541
4,6,3,156.0,80964399,Хамовники, Знаменка,13С1,Боровицкая,306077476
2,4,3,140.0,170046264,Мещанский,Рождественский бульвар,10/7С1,Трубная,315557962
5,7,3,68.0,43000000,Тверской,3-й Самотечный переулок,13,Достоевская,316318681
2,41,3,65.5,67000000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,314772566
8,42,3,130.0,90000000,Раменки,Мосфильмовская ,70к5,Ломоносовский проспект,313643920
14,25,3,83.2,65000000,Хорошево-Мневники,Живописная ,21А,Серебряный Бор,314208076
8,13,3,92.1,96705000,Раменки,проспект Генерала Дорохова,39к1,Поклонная,295915768
3,6,3,57.0,28500000,Хамовники,Погодинская ,20К5,Спортивная,312460632
40,41,3,66.0,46000000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,311061249
9,16,3,106.6,76000000,Замоскворечье,Мытная ,7с1,Серпуховская,310512370
3,23,3,87.1,27500000,Раменки,2-й Сетуньский проезд,13К2,Поклонная,312012448
31,48,3,126.5,66990000,Щукино,Авиационная ,79К1,Щукинская,316346513
2,9,3,76.0,65000000,Пресненский,Малая Никитская ,16/5,Баррикадная,316721155
1,5,3,80.0,73000000,Хамовники,Пожарский переулок,10,Кропоткинская,312348173
5,6,3,79.2,73000000,Пресненский,Мерзляковский переулок,5/1,Арбатская,315274448
3,10,3,80.4,44890000,Таганский,Новоспасский переулок,3К2,Пролетарская,314751618
7,12,3,67.2,15300000,Чертаново Южное, Газопровод,1К6,Улица Академика Янгеля,310468203
7,7,3,145.3,135000000,Пресненский,Рочдельская ,12С1,Краснопресненская,314302130
25,48,3,137.6,68937674,Щукино,Авиационная ,79К1,Щукинская,315754855
